Time,Valence,Arousal
0,0.44,-0.32
0,0.33,-0.3
0,0.44,-0.13
1,0.34,-0.13
1,0.49,0.09
2,0.54,0.18
2,0.44,0.21
2,0.37,0.23
3,0.46,0.25
3,0.49,0.34
4,0.46,0.45
4,0.39,0.59
4,0.33,0.64
6,0.11,0.65
6,0.11,0.47
6,0.11,0.36
6,0.01,0.22
6,-0.03,0.3
7,-0.03,0.47
7,-0.2,0.54
